"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"003",2015,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,59.8984771573604
"003",2015,"Auto Theft",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,16.243654822335
"003",2015,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,23.3502538071066
"003",2015,"Robbery",24,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,24.3654822335025
"003",2015,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,3.04568527918782
"003",2016,"Assault",48,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,48.7309644670051
"003",2016,"Auto Theft",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,16.243654822335
"003",2016,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,23.3502538071066
"003",2016,"Robbery",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,16.243654822335
"003",2016,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,1.01522842639594
"003",2017,"Assault",61,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,61.9289340101523
"003",2017,"Auto Theft",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,23.3502538071066
"003",2017,"Break and Enter",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,17.258883248731
"003",2017,"Robbery",24,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,24.3654822335025
"003",2017,"Theft Over",5,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,5.0761421319797
"003",2018,"Assault",53,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,53.8071065989848
"003",2018,"Auto Theft",44,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,44.6700507614213
"003",2018,"Break and Enter",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,16.243654822335
"003",2018,"Robbery",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,11.1675126903553
"003",2018,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,1.01522842639594
"003",2019,"Assault",74,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,75.1269035532995
"003",2019,"Auto Theft",51,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,51.7766497461929
"003",2019,"Break and Enter",14,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,14.2131979695431
"003",2019,"Robbery",10,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,10.1522842639594
"003",2019,"Theft Over",5,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,5.0761421319797
"003",2020,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,59.8984771573604
"003",2020,"Auto Theft",43,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,43.6548223350254
"003",2020,"Break and Enter",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,11.1675126903553
"003",2020,"Robbery",9,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,9.13705583756345
"003",2020,"Theft Over",4,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,4.06091370558376
"003",2021,"Assault",58,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,58.8832487309645
"003",2021,"Auto Theft",43,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,43.6548223350254
"003",2021,"Break and Enter",8,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,8.12182741116751
"003",2021,"Robbery",6,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,6.09137055837564
"003",2021,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,3.04568527918782
"003",2022,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,59.8984771573604
"003",2022,"Auto Theft",57,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,57.8680203045685
"003",2022,"Break and Enter",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,17.258883248731
"003",2022,"Robbery",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,16.243654822335
"003",2022,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,1.01522842639594
"003",2023,"Assault",63,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,63.9593908629442
"003",2023,"Auto Theft",52,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,52.7918781725888
"003",2023,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,23.3502538071066
"003",2023,"Robbery",12,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,12.1827411167513
"003",2023,"Theft Over",14,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,14.2131979695431
"003",2024,"Assault",74,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,75.1269035532995
"003",2024,"Auto Theft",36,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,36.5482233502538
"003",2024,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,23.3502538071066
"003",2024,"Robbery",9,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,9.13705583756345
"003",2024,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,3.04568527918782
"003",2025,"Assault",58,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,58.8832487309645
"003",2025,"Auto Theft",35,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,35.5329949238579
"003",2025,"Break and Enter",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,11.1675126903553
"003",2025,"Robbery",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,17.258883248731
"003",2025,"Theft Over",4,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,4.06091370558376
"004",2014,"Assault",53,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,51.0843373493976
"004",2014,"Auto Theft",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,12.5301204819277
"004",2014,"Break and Enter",17,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,16.3855421686747
"004",2014,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2014,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,0.963855421686747
"004",2015,"Assault",59,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,56.8674698795181
"004",2015,"Auto Theft",12,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,11.566265060241
"004",2015,"Break and Enter",17,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,16.3855421686747
"004",2015,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2015,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,0.963855421686747
"004",2016,"Assault",76,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,73.2530120481928
"004",2016,"Auto Theft",22,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,21.2048192771084
"004",2016,"Break and Enter",16,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,15.421686746988
"004",2016,"Robbery",15,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,14.4578313253012
"004",2017,"Assault",93,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,89.6385542168675
"004",2017,"Auto Theft",25,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,24.0963855421687
"004",2017,"Break and Enter",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2017,"Robbery",30,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,28.9156626506024
"004",2017,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,0.963855421686747
"004",2018,"Assault",76,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,73.2530120481928
"004",2018,"Auto Theft",58,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,55.9036144578313
"004",2018,"Break and Enter",18,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,17.3493975903614
"004",2018,"Robbery",23,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,22.1686746987952
"004",2018,"Theft Over",4,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,3.85542168674699
"004",2019,"Assault",56,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,53.9759036144578
"004",2019,"Auto Theft",53,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,51.0843373493976
"004",2019,"Break and Enter",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,12.5301204819277
"004",2019,"Robbery",21,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,20.2409638554217
"004",2019,"Theft Over",2,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,1.92771084337349
"004",2020,"Assault",50,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,48.1927710843374
"004",2020,"Auto Theft",42,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,40.4819277108434
"004",2020,"Break and Enter",19,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,18.3132530120482
"004",2020,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2020,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,0.963855421686747
"004",2021,"Assault",49,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,47.2289156626506
"004",2021,"Auto Theft",41,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,39.5180722891566
"004",2021,"Break and Enter",28,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,26.9879518072289
"004",2021,"Robbery",10,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,9.63855421686747
"004",2021,"Theft Over",2,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,1.92771084337349
"004",2022,"Assault",58,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,55.9036144578313
"004",2022,"Auto Theft",60,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,57.8313253012048
"004",2022,"Break and Enter",21,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,20.2409638554217
"004",2022,"Robbery",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,12.5301204819277
"004",2022,"Theft Over",9,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,8.67469879518072
