"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"008",2022,"Break and Enter",10,"Humber Heights-Westmount","Emerging Neighbourhood",10005,9.99500249875062
"008",2022,"Robbery",9,"Humber Heights-Westmount","Emerging Neighbourhood",10005,8.99550224887556
"008",2022,"Theft Over",1,"Humber Heights-Westmount","Emerging Neighbourhood",10005,0.999500249875062
"008",2023,"Assault",49,"Humber Heights-Westmount","Emerging Neighbourhood",10005,48.9755122438781
"008",2023,"Auto Theft",26,"Humber Heights-Westmount","Emerging Neighbourhood",10005,25.9870064967516
"008",2023,"Break and Enter",12,"Humber Heights-Westmount","Emerging Neighbourhood",10005,11.9940029985007
"008",2023,"Robbery",6,"Humber Heights-Westmount","Emerging Neighbourhood",10005,5.99700149925037
"008",2023,"Theft Over",2,"Humber Heights-Westmount","Emerging Neighbourhood",10005,1.99900049975012
"008",2024,"Assault",58,"Humber Heights-Westmount","Emerging Neighbourhood",10005,57.9710144927536
"008",2024,"Auto Theft",33,"Humber Heights-Westmount","Emerging Neighbourhood",10005,32.9835082458771
"008",2024,"Break and Enter",18,"Humber Heights-Westmount","Emerging Neighbourhood",10005,17.9910044977511
"008",2024,"Robbery",13,"Humber Heights-Westmount","Emerging Neighbourhood",10005,12.9935032483758
"008",2024,"Theft Over",3,"Humber Heights-Westmount","Emerging Neighbourhood",10005,2.99850074962519
"008",2025,"Assault",38,"Humber Heights-Westmount","Emerging Neighbourhood",10005,37.9810094952524
"008",2025,"Auto Theft",25,"Humber Heights-Westmount","Emerging Neighbourhood",10005,24.9875062468766
"008",2025,"Break and Enter",13,"Humber Heights-Westmount","Emerging Neighbourhood",10005,12.9935032483758
"008",2025,"Robbery",10,"Humber Heights-Westmount","Emerging Neighbourhood",10005,9.99500249875062
"008",2025,"Theft Over",4,"Humber Heights-Westmount","Emerging Neighbourhood",10005,3.99800099950025
"009",2020,"Assault",37,"Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood",15190,24.3581303489138
"009",2020,"Auto Theft",37,"Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood",15190,24.3581303489138
"009",2020,"Break and Enter",23,"Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood",15190,15.1415404871626
"009",2020,"Robbery",9,"Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood",15190,5.92495062541146
