"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"009",2024,"Break and Enter",59,"Edenbridge-Humber Valley"
"009",2024,"Robbery",2,"Edenbridge-Humber Valley"
"009",2024,"Theft Over",7,"Edenbridge-Humber Valley"
"009",2025,"Assault",49,"Edenbridge-Humber Valley"
"009",2025,"Auto Theft",43,"Edenbridge-Humber Valley"
"009",2025,"Break and Enter",44,"Edenbridge-Humber Valley"
"009",2025,"Robbery",10,"Edenbridge-Humber Valley"
"009",2025,"Theft Over",8,"Edenbridge-Humber Valley"
"010",2020,"Assault",25,"Princess-Rosethorn"
"010",2020,"Auto Theft",20,"Princess-Rosethorn"
"010",2020,"Break and Enter",12,"Princess-Rosethorn"
"010",2020,"Robbery",10,"Princess-Rosethorn"
"010",2020,"Theft Over",4,"Princess-Rosethorn"
"010",2021,"Assault",22,"Princess-Rosethorn"
"010",2021,"Auto Theft",23,"Princess-Rosethorn"
"010",2021,"Break and Enter",11,"Princess-Rosethorn"
"010",2021,"Robbery",1,"Princess-Rosethorn"
"010",2021,"Theft Over",2,"Princess-Rosethorn"
"010",2022,"Assault",25,"Princess-Rosethorn"
"010",2022,"Auto Theft",62,"Princess-Rosethorn"
"010",2022,"Break and Enter",13,"Princess-Rosethorn"
"010",2022,"Robbery",2,"Princess-Rosethorn"
"010",2022,"Theft Over",2,"Princess-Rosethorn"
"010",2023,"Assault",28,"Princess-Rosethorn"
"010",2023,"Auto Theft",119,"Princess-Rosethorn"
"010",2023,"Break and Enter",64,"Princess-Rosethorn"
"010",2023,"Robbery",12,"Princess-Rosethorn"
"010",2023,"Theft Over",5,"Princess-Rosethorn"
"010",2024,"Assault",33,"Princess-Rosethorn"
"010",2024,"Auto Theft",46,"Princess-Rosethorn"
"010",2024,"Break and Enter",45,"Princess-Rosethorn"
"010",2024,"Robbery",1,"Princess-Rosethorn"
"010",2024,"Theft Over",4,"Princess-Rosethorn"
"010",2025,"Assault",29,"Princess-Rosethorn"
"010",2025,"Auto Theft",23,"Princess-Rosethorn"
"010",2025,"Break and Enter",48,"Princess-Rosethorn"
