"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","population","crime_rate","city_avg_rate","s_crime_rate"
"003",2022,"Robbery",16,"Thistletown-Beaumond Heights",9850,16.243654822335,10.1236637693902,0.362770919329968
"003",2022,"Theft Over",1,"Thistletown-Beaumond Heights",9850,1.01522842639594,5.07012294090382,0.0146141377978757
"003",2023,"Assault",63,"Thistletown-Beaumond Heights",9850,63.9593908629442,86.6815187447212,0.103327244477797
"003",2023,"Auto Theft",52,"Thistletown-Beaumond Heights",9850,52.7918781725888,43.1316360491142,0.192341163274263
"003",2023,"Break and Enter",23,"Thistletown-Beaumond Heights",9850,23.3502538071066,28.2926805343177,0.18499467128015
"003",2023,"Robbery",12,"Thistletown-Beaumond Heights",9850,12.1827411167513,11.2130876852936,0.231243173019227
"003",2023,"Theft Over",14,"Thistletown-Beaumond Heights",9850,14.2131979695431,6.10925045926995,0.332105691240115
"003",2024,"Assault",74,"Thistletown-Beaumond Heights",9850,75.1269035532995,88.726117235917,0.121442893334038
"003",2024,"Auto Theft",36,"Thistletown-Beaumond Heights",9850,36.5482233502538,32.7007361583231,0.162899311056624
"003",2024,"Break and Enter",23,"Thistletown-Beaumond Heights",9850,23.3502538071066,25.2795511272439,0.241884669741323
"003",2024,"Robbery",9,"Thistletown-Beaumond Heights",9850,9.13705583756345,11.3101442433483,0.138809379729694
"003",2024,"Theft Over",3,"Thistletown-Beaumond Heights",9850,3.04568527918782,6.42981597689917,0.0674008782529302
"003",2025,"Assault",58,"Thistletown-Beaumond Heights",9850,58.8832487309645,82.5823093970963,0.0666052885162743
"003",2025,"Auto Theft",35,"Thistletown-Beaumond Heights",9850,35.5329949238579,24.5124507884229,0.231304509638478
"003",2025,"Break and Enter",11,"Thistletown-Beaumond Heights",9850,11.1675126903553,21.9516187363523,0.0841795597838153
"003",2025,"Robbery",17,"Thistletown-Beaumond Heights",9850,17.258883248731,8.84684607787153,0.433489459513318
"003",2025,"Theft Over",4,"Thistletown-Beaumond Heights",9850,4.06091370558376,6.25993971099421,0.114881513723183
"004",2014,"Assault",53,"Rexdale-Kipling",10375,51.0843373493976,59.7037606491133,0.138788126311752
"004",2014,"Auto Theft",13,"Rexdale-Kipling",10375,12.5301204819277,12.5725770449819,0.125295933440778
"004",2014,"Break and Enter",17,"Rexdale-Kipling",10375,16.3855421686747,26.6978755593416,0.115060271944037
"004",2014,"Robbery",14,"Rexdale-Kipling",10375,13.4939759036145,13.5821805100475,0.159321817872431
"004",2014,"Theft Over",1,"Rexdale-Kipling",10375,0.963855421686747,3.65174026360149,0.020235153453859
"004",2015,"Assault",59,"Rexdale-Kipling",10375,56.8674698795181,64.8993305496583,0.114947152056251
"004",2015,"Auto Theft",12,"Rexdale-Kipling",10375,11.566265060241,11.9822217582044,0.131094299746651
"004",2015,"Break and Enter",17,"Rexdale-Kipling",10375,16.3855421686747,25.5038899189161,0.12974273021718
"004",2015,"Robbery",14,"Rexdale-Kipling",10375,13.4939759036145,12.4561626193602,0.210601245742172
"004",2015,"Theft Over",1,"Rexdale-Kipling",10375,0.963855421686747,3.66782701415542,0.0267676806594602
"004",2016,"Assault",76,"Rexdale-Kipling",10375,73.2530120481928,67.1208846597699,0.172177513299827
"004",2016,"Auto Theft",22,"Rexdale-Kipling",10375,21.2048192771084,11.9533084105112,0.211686395602212
"004",2016,"Break and Enter",16,"Rexdale-Kipling",10375,15.421686746988,23.5590159893207,0.145568513022064
"004",2016,"Robbery",15,"Rexdale-Kipling",10375,14.4578313253012,13.2661908051903,0.244291198674328
"004",2017,"Assault",93,"Rexdale-Kipling",10375,89.6385542168675,69.4035720859218,0.16334501866989
"004",2017,"Auto Theft",25,"Rexdale-Kipling",10375,24.0963855421687,13.0194983285573,0.240045963543532
"004",2017,"Break and Enter",14,"Rexdale-Kipling",10375,13.4939759036145,25.2878854736903,0.0881597554145277
"004",2017,"Robbery",30,"Rexdale-Kipling",10375,28.9156626506024,14.3548478472783,0.41654568017239
"004",2017,"Theft Over",1,"Rexdale-Kipling",10375,0.963855421686747,4.12216830498806,0.0235682662225861
"004",2018,"Assault",76,"Rexdale-Kipling",10375,73.2530120481928,70.45244134518,0.145264114442151
"004",2018,"Auto Theft",58,"Rexdale-Kipling",10375,55.9036144578313,16.9822295749662,0.366549897293262
"004",2018,"Break and Enter",18,"Rexdale-Kipling",10375,17.3493975903614,27.5990772510942,0.110541008965375
"004",2018,"Robbery",23,"Rexdale-Kipling",10375,22.1686746987952,13.2701503600022,0.267368567948873
"004",2018,"Theft Over",4,"Rexdale-Kipling",10375,3.85542168674699,4.47180131994928,0.10417601801832
"004",2019,"Assault",56,"Rexdale-Kipling",10375,53.9759036144578,74.3439178949927,0.0795945111022267
"004",2019,"Auto Theft",53,"Rexdale-Kipling",10375,51.0843373493976,18.6275271489613,0.335482674206311
"004",2019,"Break and Enter",13,"Rexdale-Kipling",10375,12.5301204819277,31.0331575818545,0.0487578643980372
"004",2019,"Robbery",21,"Rexdale-Kipling",10375,20.2409638554217,12.642311995235,0.300527579437201
"004",2019,"Theft Over",2,"Rexdale-Kipling",10375,1.92771084337349,4.91033294764247,0.0301615386996369
"004",2020,"Assault",50,"Rexdale-Kipling",10375,48.1927710843374,64.6066532437307,0.107634219419404
"004",2020,"Auto Theft",42,"Rexdale-Kipling",10375,40.4819277108434,20.3235219509665,0.319087660014272
"004",2020,"Break and Enter",19,"Rexdale-Kipling",10375,18.3132530120482,25.6028576114286,0.13540297862613
"004",2020,"Robbery",14,"Rexdale-Kipling",10375,13.4939759036145,9.79054142585102,0.204989098355896
"004",2020,"Theft Over",1,"Rexdale-Kipling",10375,0.963855421686747,4.32598074185994,0.0210954651409286
"004",2021,"Assault",49,"Rexdale-Kipling",10375,47.2289156626506,67.000711128936,0.105516732809416
"004",2021,"Auto Theft",41,"Rexdale-Kipling",10375,39.5180722891566,23.3490047634096,0.238754685443158
"004",2021,"Break and Enter",28,"Rexdale-Kipling",10375,26.9879518072289,20.432061457531,0.266629851076938
"004",2021,"Robbery",10,"Rexdale-Kipling",10375,9.63855421686747,8.00060922030759,0.169393524566572
"004",2021,"Theft Over",2,"Rexdale-Kipling",10375,1.92771084337349,3.86280673690401,0.0683530452929712
"004",2022,"Assault",58,"Rexdale-Kipling",10375,55.9036144578313,75.5027763886577,0.115316948017354
"004",2022,"Auto Theft",60,"Rexdale-Kipling",10375,57.8313253012048,34.6283205409473,0.231876721509411
"004",2022,"Break and Enter",21,"Rexdale-Kipling",10375,20.2409638554217,22.1324764378535,0.170059935549103
"004",2022,"Robbery",13,"Rexdale-Kipling",10375,12.5301204819277,10.1236637693902,0.275960790092265
"004",2022,"Theft Over",9,"Rexdale-Kipling",10375,8.67469879518072,5.07012294090382,0.210521206795481
"004",2023,"Assault",79,"Rexdale-Kipling",10375,76.144578313253,86.6815187447212,0.132904198452229
"004",2023,"Auto Theft",75,"Rexdale-Kipling",10375,72.289156626506,43.1316360491142,0.272374379388308
"004",2023,"Break and Enter",16,"Rexdale-Kipling",10375,15.421686746988,28.2926805343177,0.107060358881891
"004",2023,"Robbery",24,"Rexdale-Kipling",10375,23.1325301204819,11.2130876852936,0.452182318514117
"004",2023,"Theft Over",4,"Rexdale-Kipling",10375,3.85542168674699,6.10925045926995,0.0823674421280061
"004",2024,"Assault",93,"Rexdale-Kipling",10375,89.6385542168675,88.726117235917,0.150811522586792
"004",2024,"Auto Theft",46,"Rexdale-Kipling",10375,44.3373493975904,32.7007361583231,0.202863906697345
"004",2024,"Break and Enter",24,"Rexdale-Kipling",10375,23.1325301204819,25.2795511272439,0.23910734645235
"004",2024,"Robbery",25,"Rexdale-Kipling",10375,24.0963855421687,11.3101442433483,0.387129752112137
"004",2024,"Theft Over",1,"Rexdale-Kipling",10375,0.963855421686747,6.42981597689917,0.0130240939541601
"004",2025,"Assault",72,"Rexdale-Kipling",10375,69.3975903614458,82.5823093970963,0.0851788987309146
"004",2025,"Auto Theft",37,"Rexdale-Kipling",10375,35.6626506024096,24.5124507884229,0.232209634842069
"004",2025,"Break and Enter",19,"Rexdale-Kipling",10375,18.3132530120482,21.9516187363523,0.165455398586557
"004",2025,"Robbery",14,"Rexdale-Kipling",10375,13.4939759036145,8.84684607787153,0.334247960437239
"004",2025,"Theft Over",7,"Rexdale-Kipling",10375,6.74698795180723,6.25993971099421,0.20627341444222
